Country,Deaths_All_Ages_2000,Deaths_All_Ages_2019,,,Population,Continent
Iran,3928,0,,,83992953,Asia
Iraq,2164,2,,,40222503,Asia
Ireland,12742,5,,,4937796,Europe
Israel,4952,5296,,,8655541,Asia
Italy,4512,13752,,,60461828,Europe
Jamaica,2000,1639,,,2961161,North America
Japan,982038,55,,,126476458,Asia
Jordan,107906,12151,,,10203140,Asia
Kazakhstan,3683,3875,,,18776707,Asia
Kenya,4420,1347,,,53771300,Africa
"Korea, South",2009,0,,,51640000,Asia
Kosovo,2009,606890,,,1932774,Europe
Kuwait,2365,76867,,,4270563,Asia
Kyrgyzstan,2395,97,,,6524191,Asia
Laos,2236,64,,,7275556,Asia
Latvia,2008,2,,,1886202,Europe
Lebanon,8058,4,,,6825442,Asia
Lesotho,23682,121,,,2142252,Africa
Liberia,2130,199,,,5057677,Africa
Libya,2003,95,,,6871287,Africa
Liechtenstein,5498,2,,,38137,Europe
Lithuania,11473,1424,,,2722291,Europe
Luxembourg,2312,22109,,,625976,Europe
Madagascar,2120,133,,,27691019,Africa
Malawi,4073,1,,,19129955,Africa
Malaysia,6093,1432,,,32365998,Asia
Maldives,2080,6332,,,540542,Asia
Mali,2247,59313,,,20250834,Africa
Malta,2001,104,,,441539,Europe
Mauritania,23569,10,,,4649660,Africa
Mauritius,19240,1633,,,1271767,Africa
Mexico,2289,2714,,,128932753,North America
Moldova,2095,8,,,4033963,Europe
Monaco,20933,61,,,39244,Europe
Mongolia,2001,0,,,3278292,Asia
Montenegro,2025,21459,,,628062,Europe
Morocco,4046,12379,,,36910558,Africa
Mozambique,2069,111,,,31255435,Africa
Namibia,12926,23,,,2540916,Africa
Nepal,2081,22580,,,29136808,Asia
Netherlands,4963,0,,,17134873,Europe
New Zealand,2000,24,,,4822233,Oceania
Nicaragua,4182,1208,,,6624554,North America
Niger,2225,14,,,24206636,Africa
Nigeria,10311,9854,,,206139587,Africa
North Macedonia,28191,48,,,2083380,Europe
Norway,83358,12025,,,5421242,Europe
Oman,3416,282,,,5106622,Asia
Pakistan,2002,0,,,220892331,Asia
Panama,31749,1009,,,4314768,North America
Papua New Guinea,2021,168,,,8947027,Oceania
Paraguay,2008,1679,,,7132530,South America
Peru,3916,25017,,,32971846,South America
Philippines,27240,49223,,,109581085,Asia
Poland,199167,775,,,37846605,Europe
Portugal,2000,0,,,10196707,Europe
