Country,Continent,Population,Deaths_All_Ages_2000,Deaths_All_Ages_2019
Tunisia,Africa,11818618,341,21
Turkey,Asia,84339067,2090,236
Uganda,Africa,45741000,28075,23001
Ukraine,Europe,43733759,7814,2728
United Arab Emirates,Asia,9890400,1,0
United Kingdom,Europe,67886004,37,12
United States,South America,3473727,310,150
Uruguay,North America,331002647,161,53
Uzbekistan,Asia,33469199,8532,3164
Venezuela,South America,28435943,227,88
Vietnam,Asia,97338583,51626,33247
West Bank and Gaza,Asia,4430000,0,0
Western Sahara,Africa,597330,0,0
Yemen,Asia,29825968,15659,9709
Zambia,Africa,18383956,11701,8822
Zimbabwe,Africa,14862927,7589,10019
